3/1/2020,
3/2/2020,
3/3/2020,
3/4/2020,
3/5/2020,
3/6/2020,
3/7/2020,
3/8/2020,
3/9/2020,
3/10/2020,
3/11/2020,34
3/12/2020,31
3/13/2020,31
3/14/2020,26
3/15/2020,28
3/16/2020,29
3/17/2020,35
3/18/2020,39
3/19/2020,37
3/20/2020,37
3/21/2020,44
3/22/2020,45
3/23/2020,66
3/24/2020,56
3/25/2020,43
3/26/2020,117
3/27/2020,86
3/28/2020,86
3/29/2020,86
3/30/2020,64
3/31/2020,64
4/1/2020,95
4/2/2020,61
4/3/2020,116
4/4/2020,116
4/5/2020,116
4/6/2020,182
4/7/2020,218
4/8/2020,269
4/9/2020,331
4/10/2020,394
4/11/2020,394
4/12/2020,394
4/13/2020,394
4/14/2020,441
4/15/2020,441
4/16/2020,232
4/17/2020,206
4/18/2020,206
4/19/2020,206
4/20/2020,206
4/21/2020,150
4/22/2020,171
4/23/2020,186
4/24/2020,199
4/25/2020,199
4/26/2020,199
4/27/2020,173
4/28/2020,149
4/29/2020,131
4/30/2020,112
5/1/2020,112
5/2/2020,112
5/3/2020,138
5/4/2020,142
5/5/2020,142
5/6/2020,47
5/7/2020,47
5/8/2020,47
5/9/2020,47
5/10/2020,22
5/11/2020,43
5/12/2020,29
5/13/2020,
5/14/2020,
5/15/2020,
5/16/2020,
5/17/2020,
5/18/2020,
5/19/2020,
5/20/2020,
5/21/2020,
5/22/2020,
5/23/2020,
5/24/2020,121
5/25/2020,107
5/26/2020,105
5/27/2020,115
5/28/2020,107
5/29/2020,73
5/30/2020,71
5/31/2020,71
6/1/2020,73
6/2/2020,81
6/3/2020,63
6/4/2020,63
6/5/2020,67
6/6/2020,56
6/7/2020,47
6/8/2020,40
6/9/2020,33
6/10/2020,37
6/11/2020,36
6/12/2020,36
6/13/2020,44
6/14/2020,47
6/15/2020,50
6/16/2020,51
6/17/2020,42
6/18/2020,37
6/19/2020,30
6/20/2020,23
6/21/2020,21
6/22/2020,20
6/23/2020,17
6/24/2020,14
6/25/2020,12
6/26/2020,12
6/27/2020,13
6/28/2020,11
6/29/2020,11
6/30/2020,11
7/1/2020,12
7/2/2020,16
7/3/2020,18
7/4/2020,19
7/5/2020,20
7/6/2020,20
7/7/2020,22
7/8/2020,22
7/9/2020,20
7/10/2020,18
7/11/2020,17
7/12/2020,19
7/13/2020,20
7/14/2020,19
7/15/2020,22
7/16/2020,21
7/17/2020,24
7/18/2020,26
7/19/2020,26
7/20/2020,27
7/21/2020,25
7/22/2020,25
7/23/2020,24
7/24/2020,24
7/25/2020,22
7/26/2020,21
7/27/2020,20
7/28/2020,22
7/29/2020,22
7/30/2020,24
7/31/2020,24
8/1/2020,24
8/2/2020,29
8/3/2020,46
8/4/2020,51
8/5/2020,70
8/6/2020,57
8/7/2020,52
8/8/2020,52
8/9/2020,52
8/10/2020,43
8/11/2020,38
8/12/2020,27
8/13/2020,27
8/14/2020,27
8/15/2020,27
8/16/2020,27
8/17/2020,23
8/18/2020,23
8/19/2020,28
8/20/2020,28
8/21/2020,35
8/22/2020,35
8/23/2020,35
8/24/2020,33
8/25/2020,33
8/26/2020,28
8/27/2020,28
8/28/2020,29
8/29/2020,29
8/30/2020,29
8/31/2020,38
9/1/2020,38
9/2/2020,46
9/3/2020,46
9/4/2020,51
9/5/2020,51
9/6/2020,51
9/7/2020,57
9/8/2020,57
9/9/2020,62
9/10/2020,55
9/11/2020,55
9/12/2020,44
9/13/2020,40
9/14/2020,35
9/15/2020,38
9/16/2020,38
9/17/2020,38
9/18/2020,37
9/19/2020,43
9/20/2020,51
9/21/2020,58
9/22/2020,53
9/23/2020,51
9/24/2020,52
9/25/2020,55
9/26/2020,55
9/27/2020,50
9/28/2020,47
9/29/2020,49
9/30/2020,52
10/1/2020,54
10/2/2020,57
10/3/2020,57
10/4/2020,57
10/5/2020,63
10/6/2020,63
10/7/2020,63
10/8/2020,63
10/9/2020,63
10/10/2020,63
10/11/2020,63
10/12/2020,63
10/13/2020,63
10/14/2020,76
10/15/2020,76
10/16/2020,88
10/17/2020,88
10/18/2020,95
10/19/2020,136
10/20/2020,143
10/21/2020,173
10/22/2020,179
10/23/2020,183
10/24/2020,172
10/25/2020,182
10/26/2020,163
10/27/2020,163
10/28/2020,150
10/29/2020,133
10/30/2020,135
10/31/2020,125
11/1/2020,122
11/2/2020,129
11/3/2020,136
11/4/2020,139
11/5/2020,162
11/6/2020,172
11/7/2020,206
11/8/2020,225
11/9/2020,239
11/10/2020,243
11/11/2020,255
11/12/2020,263
11/13/2020,272
11/14/2020,288
11/15/2020,302
11/16/2020,307
11/17/2020,324
11/18/2020,345
11/19/2020,322
11/20/2020,330
11/21/2020,317
11/22/2020,320
11/23/2020,350
11/24/2020,360
11/25/2020,374
11/26/2020,471
11/27/2020,515
11/28/2020,595
11/29/2020,635
11/30/2020,666
12/1/2020,668
12/2/2020,655
12/3/2020,632
12/4/2020,732
12/5/2020,716
12/6/2020,767
12/7/2020,811
12/8/2020,862
12/9/2020,939
12/10/2020,959
12/11/2020,883
12/12/2020,904
12/13/2020,900
12/14/2020,915
12/15/2020,909
12/16/2020,930
12/17/2020,955
12/18/2020,940
12/19/2020,924
12/20/2020,915
12/21/2020,874
12/22/2020,904
12/23/2020,922
12/24/2020,883
12/25/2020,892
12/26/2020,862
12/27/2020,734
12/28/2020,721
12/29/2020,722
12/30/2020,708
12/31/2020,707
1/1/2021,692
1/2/2021,736
1/3/2021,885
1/4/2021,931
1/5/2021,925
1/6/2021,974
1/7/2021,1008
