8/15/2022,6.571428571,8/15/2022,17
8/16/2022,6.571428571,8/16/2022,0
8/17/2022,5.714285714,8/17/2022,0
8/18/2022,5,8/18/2022,7
8/19/2022,4.142857143,8/19/2022,5
8/20/2022,4.142857143,8/20/2022,0
8/21/2022,4.142857143,8/21/2022,0
8/22/2022,3,8/22/2022,9
8/23/2022,3.285714286,8/23/2022,2
8/24/2022,4.142857143,8/24/2022,6
8/25/2022,5.428571429,8/25/2022,16
8/26/2022,5.285714286,8/26/2022,4
8/27/2022,5.285714286,8/27/2022,0
8/28/2022,5.285714286,8/28/2022,0
8/29/2022,4.428571429,8/29/2022,3
8/30/2022,5,8/30/2022,6
8/31/2022,4.428571429,8/31/2022,2
9/1/2022,2.428571429,9/1/2022,2
9/2/2022,2.714285714,9/2/2022,6
9/3/2022,2.714285714,9/3/2022,0
9/4/2022,2.714285714,9/4/2022,0
9/5/2022,2.285714286,9/5/2022,0
9/6/2022,2.428571429,9/6/2022,7
9/7/2022,2.428571429,9/7/2022,2
9/8/2022,2.285714286,9/8/2022,1
9/9/2022,2.428571429,9/9/2022,7
9/10/2022,2.428571429,9/10/2022,0
9/11/2022,2.428571429,9/11/2022,0
9/12/2022,3.142857143,9/12/2022,5
9/13/2022,3,9/13/2022,6
9/14/2022,3,9/14/2022,2
9/15/2022,3.142857143,9/15/2022,2
9/16/2022,2.714285714,9/16/2022,4
9/17/2022,2.714285714,9/17/2022,0
9/18/2022,2.714285714,9/18/2022,0
9/19/2022,2.142857143,9/19/2022,1
9/20/2022,2.142857143,9/20/2022,6
9/21/2022,2,9/21/2022,1
9/22/2022,2.285714286,9/22/2022,4
9/23/2022,1.571428571,9/23/2022,-1
9/24/2022,1.571428571,9/24/2022,0
9/25/2022,1.571428571,9/25/2022,0
9/26/2022,3,9/26/2022,11
9/27/2022,2.714285714,9/27/2022,4
9/28/2022,3.142857143,9/28/2022,4
9/29/2022,3.142857143,9/29/2022,4
9/30/2022,3.857142857,9/30/2022,4
10/1/2022,3.857142857,10/1/2022,0
10/2/2022,3.857142857,10/2/2022,0
10/3/2022,3.571428571,10/3/2022,9
10/4/2022,3.714285714,10/4/2022,5
10/5/2022,3.428571429,10/5/2022,2
10/6/2022,4.428571429,10/6/2022,11
10/7/2022,4.142857143,10/7/2022,2
10/8/2022,4.142857143,10/8/2022,0
10/9/2022,4.142857143,10/9/2022,0
10/10/2022,2.857142857,10/10/2022,0
10/11/2022,3.428571429,10/11/2022,9
10/12/2022,3.142857143,10/12/2022,0
10/13/2022,2.285714286,10/13/2022,5
10/14/2022,2.428571429,10/14/2022,3
10/15/2022,2.428571429,10/15/2022,0
10/16/2022,2.428571429,10/16/2022,0
10/17/2022,3.857142857,10/17/2022,10
10/18/2022,3.571428571,10/18/2022,7
10/19/2022,3.714285714,10/19/2022,1
10/20/2022,3.285714286,10/20/2022,2
10/21/2022,4.428571429,10/21/2022,11
10/22/2022,4.428571429,10/22/2022,0
10/23/2022,4.428571429,10/23/2022,0
10/24/2022,4,10/24/2022,7
10/25/2022,3.714285714,10/25/2022,5
10/26/2022,4.571428571,10/26/2022,7
10/27/2022,6,10/27/2022,12
10/28/2022,4.571428571,10/28/2022,1
10/29/2022,4.571428571,10/29/2022,0
10/30/2022,4.571428571,10/30/2022,0
10/31/2022,4.714285714,10/31/2022,8
11/1/2022,4.857142857,11/1/2022,6
11/2/2022,5,11/2/2022,8
11/3/2022,4.857142857,11/3/2022,11
11/4/2022,5.571428571,11/4/2022,6
11/5/2022,5.571428571,11/5/2022,0
11/6/2022,5.571428571,11/6/2022,0
11/7/2022,6.428571429,11/7/2022,14
11/8/2022,7.142857143,11/8/2022,11
11/9/2022,7,11/9/2022,7
11/10/2022,6,11/10/2022,4
11/11/2022,5.142857143,11/11/2022,0
11/12/2022,5.142857143,11/12/2022,0
11/13/2022,5.142857143,11/13/2022,0
11/14/2022,3.428571429,11/14/2022,2
11/15/2022,4.285714286,11/15/2022,17
11/16/2022,4.285714286,11/16/2022,7
11/17/2022,4.285714286,11/17/2022,4
11/18/2022,5.571428571,11/18/2022,9
11/19/2022,5.571428571,11/19/2022,0
11/20/2022,5.571428571,11/20/2022,0
11/21/2022,6.857142857,11/21/2022,11
11/22/2022,5.285714286,11/22/2022,6
11/23/2022,5.571428571,11/23/2022,9
11/24/2022,5,11/24/2022,0
11/25/2022,3.714285714,11/25/2022,0
11/26/2022,3.714285714,11/26/2022,0
11/27/2022,3.714285714,11/27/2022,0
11/28/2022,3.714285714,11/28/2022,11
11/29/2022,5,11/29/2022,15
11/30/2022,4.571428571,11/30/2022,6
12/1/2022,6.142857143,12/1/2022,11
