,0,1,2,3,forecast,,,,,,,,,
94,7/8/2022,18.85714286,7/8/2022,10,,,,,,,,,,
95,7/9/2022,18.85714286,7/9/2022,0,,,,,,,,,,
96,7/10/2022,18.85714286,7/10/2022,0,,,,,,,,,,
97,7/11/2022,23,7/11/2022,29,,,,,,,,,,
98,7/12/2022,14.71428571,7/12/2022,2,,,,,,,,,,
99,7/13/2022,15.28571429,7/13/2022,9,,,,,,,,,,
100,7/14/2022,8.142857143,7/14/2022,7,,,,,,,,,,
101,7/15/2022,10,7/15/2022,23,,,,,,,,,,
102,7/16/2022,10,7/16/2022,0,,,,,,,,,,
103,7/17/2022,10,7/17/2022,0,,,,,,,,,,
104,7/18/2022,8,7/18/2022,15,,,,,,,,,,
105,7/19/2022,8.428571429,7/19/2022,5,,,,,,,,,,
106,7/20/2022,8.857142857,7/20/2022,12,,,,,,,,,,
107,7/21/2022,10,7/21/2022,15,,,,,,,,,,
108,7/22/2022,7.571428571,7/22/2022,6,,,,,,,,,,
109,7/23/2022,7.571428571,7/23/2022,0,,,,,,,,,,
110,7/24/2022,7.571428571,7/24/2022,0,,,,,,,,,,
111,7/25/2022,8,7/25/2022,18,,,,,,,,,,
112,7/26/2022,7.714285714,7/26/2022,3,,,,,,,,,,
113,7/27/2022,7.142857143,7/27/2022,8,,,,,,,,,,
114,7/28/2022,8.142857143,7/28/2022,22,,,,,,,,,,
115,7/29/2022,7.428571429,7/29/2022,1,,,,,,,,,,
116,7/30/2022,7.428571429,7/30/2022,0,,,,,,,,,,
117,7/31/2022,7.428571429,7/31/2022,0,,,,,,,,,,
118,8/1/2022,7.142857143,8/1/2022,16,,,,,,,,,,
119,8/2/2022,7,8/2/2022,2,,,,,,,,,,
120,8/3/2022,6.142857143,8/3/2022,2,,,,,,,,,,
121,8/4/2022,4.571428571,8/4/2022,11,,,,,,,,,,
122,8/5/2022,5.285714286,8/5/2022,6,,,,,,,,,,
123,8/6/2022,5.285714286,8/6/2022,0,,,,,,,,,,
124,8/7/2022,5.285714286,8/7/2022,0,,,,,,,,,,
125,8/8/2022,5,8/8/2022,14,,,,,,,,,,
126,8/9/2022,4.714285714,8/9/2022,0,,,,,,,,,,
127,8/10/2022,5.285714286,8/10/2022,6,,,,,,,,,,
128,8/11/2022,5.428571429,8/11/2022,12,,,,,,,,,,
129,8/12/2022,6.142857143,8/12/2022,11,,,,,,,,,,
130,8/13/2022,6.142857143,8/13/2022,0,,,,,,,,,,
131,8/14/2022,6.142857143,8/14/2022,0,,,,,,,,,,
132,8/15/2022,6.571428571,8/15/2022,17,,,,,,,,,,
133,8/16/2022,6.571428571,8/16/2022,0,,,,,,,,,,
134,8/17/2022,5.714285714,8/17/2022,0,,,,,,,,,,
135,8/18/2022,5,8/18/2022,7,,,,,,,,,,
136,8/19/2022,4.142857143,8/19/2022,5,,,,,,,,,,
137,8/20/2022,4.142857143,8/20/2022,0,,,,,,,,,,
138,8/21/2022,4.142857143,8/21/2022,0,,,,,,,,,,
139,8/22/2022,3,8/22/2022,9,,,,,,,,,,
140,8/23/2022,3.285714286,8/23/2022,2,,,,,,,,,,
141,8/24/2022,4.142857143,8/24/2022,6,,,,,,,,,,
142,8/25/2022,5.428571429,8/25/2022,16,,,,,,,,,,
